City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Ramshir,IR,85.86,Clear sky,30.8946,49.4092,معصومه مهدیان
4,Jamestown,US,78.71,Broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
5,Bathsheba,BB,83.01,Scattered clouds,13.2167,-59.5167,Atlantis Hotel
6,Wilmington,US,78.85,Clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
10,Butaritari,KI,82.31,Scattered clouds,3.0707,172.7902,Isles Sunset Lodge
18,Palembang,ID,82.49,Few clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
20,Faanui,PF,80.71,Clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
22,Sandakan,MY,87.48,Scattered clouds,5.8402,118.1179,Hotel Sandakan
28,Cabo San Lucas,MX,87.62,Scattered clouds,22.8909,-109.9124,Vista Roof Restaurant
32,Charleston,US,81.01,Clear sky,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
35,Bani,DO,79.86,Overcast clouds,18.2833,-70.3333,Hospedaje Henriquez
36,Daru,PG,80.96,Scattered clouds,-9.0763,143.2092,Daru Lodge
40,Hobyo,SO,77.97,Broken clouds,5.3505,48.5268,Iftin hotel hobyo
47,Victoria,HK,86.38,Overcast clouds,22.2855,114.1577,Mini Central
49,Sabang,ID,81.52,Overcast clouds,5.8933,95.3214,Hotel Citra
55,Asyut,EG,78.98,Clear sky,27.180999999999997,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
56,Avarua,CK,80.65,Few clouds,-21.2078,-159.775,Paradise Inn
59,Pokhara,NP,81.72,Scattered clouds,28.2333,83.9833,OYO 170 Hotel View Point
60,Sorong,ID,82.53,Few clouds,-0.8833,131.25,Waigo Splash Hotel
67,Georgetown,MY,84.13,Few clouds,5.4112,100.3354,Cititel Penang
70,Luwuk,ID,84.52,Overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
72,Katobu,ID,77.29,Overcast clouds,-4.9408,122.5276,La Ode Husein
73,Bengkulu,ID,82.54,Overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
75,Hilo,US,80.26,Broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
76,Salinopolis,BR,78.26,Broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
78,Hamilton,US,84.99,Clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
82,Atuona,PF,77.86,Broken clouds,-9.8,-139.0333,Villa Enata
92,Kahului,US,84.22,Scattered clouds,20.8947,-156.47,Maui Seaside Hotel
97,Hithadhoo,MV,81.64,Overcast clouds,-0.6,73.0833,Scoop Guest House
98,Hovd,MN,75.72,Broken clouds,48.0056,91.6419,Hotel Khovd
99,Chabahar,IR,83.07,Clear sky,25.2919,60.643,هتل گدروشیا
100,Kavaratti,IN,83.3,Moderate rain,10.5669,72.642,Hotels in Lakshadweep Islands
103,Amberley,US,84.7,Clear sky,39.2048,-84.428,Days Inn & Suites by Wyndham Cincinnati
106,Urumqi,CN,76.15,Clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
107,Vaini,TO,78.96,Broken clouds,-21.2,-175.2,Keleti Beach Resort
109,Noumea,NC,82.38,Overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
110,Guanica,PR,82.98,Overcast clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
113,Zhangjiakou,CN,78.8,Broken clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
114,Kaspiysk,RU,75.38,Overcast clouds,42.8816,47.6392,Alima Hostel
121,Cam Ranh,VN,87.76,Few clouds,11.9214,109.1591,OYO 598 Peony Hotel
