City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bluff,NZ,-46.6,168.3333,47.8,73,99,21.81,Overcast clouds
1,Puerto Ayora,EC,-0.7393,-90.3518,71.55,92,13,5.01,Few clouds
2,Ramshir,IR,30.8946,49.4092,85.86,14,0,10.63,Clear sky
3,Sao Filipe,CV,14.8961,-24.4956,72.45,87,74,7.31,Broken clouds
4,Jamestown,US,42.097,-79.2353,78.71,89,71,4.59,Broken clouds
5,Bathsheba,BB,13.2167,-59.5167,83.01,83,40,20.71,Scattered clouds
6,Wilmington,US,34.2257,-77.9447,78.85,67,0,5.75,Clear sky
7,Ancud,CL,-41.8697,-73.8203,46.22,90,78,4.32,Broken clouds
8,Ahipara,NZ,-35.1667,173.1667,60.8,65,2,7.54,Clear sky
9,Kaitangata,NZ,-46.2817,169.8464,46.63,91,99,11.5,Overcast clouds
10,Butaritari,KI,3.0707,172.7902,82.31,72,25,12.08,Scattered clouds
11,Tessalit,ML,20.1986,1.0114,84.69,36,88,15.59,Overcast clouds
12,Krasnoselkup,RU,65.7,82.4667,62.74,86,100,11.34,Overcast clouds
13,Barrow,US,71.2906,-156.7887,39.22,81,75,11.5,Broken clouds
14,Chokurdakh,RU,70.6333,147.9167,68.41,24,95,7.45,Overcast clouds
15,Yerbogachen,RU,61.2767,108.0108,75.25,43,15,4.09,Few clouds
16,Richards Bay,ZA,-28.783,32.0377,54.66,63,4,11.88,Clear sky
17,Busselton,AU,-33.65,115.3333,65.79,74,42,16.55,Scattered clouds
18,Palembang,ID,-2.9167,104.7458,82.49,78,20,9.22,Few clouds
19,Bethel,US,41.3712,-73.414,67.64,86,98,1.01,Overcast clouds
20,Faanui,PF,-16.4833,-151.75,80.71,71,10,16.6,Clear sky
21,Hearst,CA,49.6835,-83.6665,70.05,90,38,5.91,Scattered clouds
22,Sandakan,MY,5.8402,118.1179,87.48,74,40,5.99,Scattered clouds
23,Praia,CV,14.9215,-23.5087,73.94,83,40,6.91,Scattered clouds
24,Vestmannaeyjar,IS,63.4427,-20.2734,49.46,73,100,17.47,Overcast clouds
25,Geraldton,AU,-28.7667,114.6,66.61,82,100,10.36,Overcast clouds
26,Haines Junction,CA,60.7522,-137.5108,60.75,63,95,3.44,Overcast clouds
27,Maku,IR,39.2911,44.4521,59.61,67,20,4.61,Few clouds
28,Cabo San Lucas,MX,22.8909,-109.9124,87.62,71,33,13.51,Scattered clouds
29,Albany,US,42.6001,-73.9662,73.81,69,98,7.58,Overcast clouds
30,Green River,US,41.5286,-109.4662,68.4,20,0,3.0,Clear sky
31,Punta Arenas,CL,-53.15,-70.9167,44.71,57,75,12.66,Broken clouds
32,Charleston,US,32.7766,-79.9309,81.01,72,0,5.75,Clear sky
33,Sambava,MG,-14.2667,50.1667,69.28,89,11,7.7,Few clouds
34,Berlevag,NO,70.8578,29.0864,39.15,93,100,11.5,Overcast clouds
35,Bani,DO,18.2833,-70.3333,79.86,73,100,7.07,Overcast clouds
36,Daru,PG,-9.0763,143.2092,80.96,87,34,14.09,Scattered clouds
37,Hobart,AU,-42.8794,147.3294,52.27,86,40,8.05,Scattered clouds
38,Castro,BR,-24.7911,-50.0119,50.81,91,13,2.95,Few clouds
39,Iqaluit,CA,63.7506,-68.5145,44.33,93,100,12.66,Light rain
40,Hobyo,SO,5.3505,48.5268,77.97,88,83,21.52,Broken clouds
41,Dikson,RU,73.5069,80.5464,35.87,85,70,6.46,Broken clouds
42,Tucuma,BR,-0.1833,-50.05,75.45,83,58,5.61,Broken clouds
43,Hermanus,ZA,-34.4187,19.2345,45.81,73,62,8.19,Broken clouds
44,Batemans Bay,AU,-35.7167,150.1833,65.86,45,96,8.46,Overcast clouds
45,Port Elizabeth,ZA,-33.918,25.5701,49.1,81,0,4.61,Clear sky
46,Cape Town,ZA,-33.9258,18.4232,55.38,74,0,2.3,Clear sky
47,Victoria,HK,22.2855,114.1577,86.38,86,100,17.0,Overcast clouds
48,Pedra Branca,BR,-5.4542,-39.7172,64.8,97,90,4.21,Overcast clouds
49,Sabang,ID,5.8933,95.3214,81.52,73,100,8.75,Overcast clouds
50,Tuktoyaktuk,CA,69.4541,-133.0374,41.0,75,20,13.8,Few clouds
51,Takoradi,GH,4.8845,-1.7554,74.07,96,100,11.16,Heavy intensity rain
52,Ushuaia,AR,-54.8,-68.3,46.06,49,0,11.5,Clear sky
53,Cherskiy,RU,68.75,161.3,62.67,20,11,8.95,Few clouds
54,East London,ZA,-33.0153,27.9116,54.64,60,37,18.48,Scattered clouds
55,Asyut,EG,27.181,31.1837,78.98,52,0,13.85,Clear sky
56,Avarua,CK,-21.2078,-159.775,80.65,69,15,12.66,Few clouds
57,Arraial Do Cabo,BR,-22.9661,-42.0278,67.95,76,2,9.57,Clear sky
58,Caravelas,BR,-17.7125,-39.2481,68.04,75,37,4.85,Scattered clouds
59,Pokhara,NP,28.2333,83.9833,81.72,62,29,3.96,Scattered clouds
60,Sorong,ID,-0.8833,131.25,82.53,74,17,4.59,Few clouds
61,Mataura,NZ,-46.1927,168.8643,47.48,96,100,6.98,Light rain
62,Hasaki,JP,35.7333,140.8333,73.29,82,100,11.45,Light rain
63,Leshukonskoye,RU,64.8989,45.7622,58.8,92,100,8.12,Overcast clouds
64,Santa Maria,BR,-29.6842,-53.8069,49.3,100,0,1.14,Clear sky
65,Qaanaaq,GL,77.484,-69.3632,24.08,79,19,5.61,Few clouds
66,Tekirdag,TR,40.978,27.5085,60.15,83,83,8.86,Broken clouds
67,Georgetown,MY,5.4112,100.3354,84.13,81,20,7.0,Few clouds
68,Lagoa,PT,39.05,-27.9833,63.23,92,12,8.5,Few clouds
69,Beringovskiy,RU,63.05,179.3167,45.72,73,100,19.77,Overcast clouds
70,Luwuk,ID,-0.9516,122.7875,84.52,72,92,3.47,Overcast clouds
71,Longyearbyen,SJ,78.2186,15.6401,39.04,75,75,11.5,Broken clouds
72,Katobu,ID,-4.9408,122.5276,77.29,91,100,3.38,Overcast clouds
73,Bengkulu,ID,-3.8004,102.2655,82.54,68,98,1.05,Overcast clouds
74,Mehamn,NO,71.0357,27.8492,39.11,85,100,13.96,Overcast clouds
75,Hilo,US,19.7297,-155.09,80.26,79,75,8.05,Broken clouds
76,Salinopolis,BR,-0.6136,-47.3561,78.26,80,76,11.34,Broken clouds
77,Rikitea,PF,-23.1203,-134.9692,72.86,67,100,8.3,Overcast clouds
78,Hamilton,US,39.1834,-84.5333,84.99,73,0,9.22,Clear sky
79,Saint-Philippe,RE,-21.3585,55.7679,69.39,81,72,17.09,Light rain
80,Vila Franca Do Campo,PT,37.7167,-25.4333,64.2,88,77,8.55,Broken clouds
